review,movie_name,label_name,predicted_label_MNB,y_true,y_pred_MNB,predicted_label_knn,y_pred_knn,predicted_label_tfidf_knn,y_pred_tfidf_knn,predicted_label_we_mnb,y_pred_we_mnb,predicted_label_tfidf_svc,y_pred_tfidf_svc,predicted_label_tfidf_rfc,y_pred_tfidf_rfc
"Really enjoyed the first two films, both contained great scenes/action, acting and the two best villains of the films. Was mixed on the third film, which wasn't that bad but suffered mainly from bloat, and was not totally sold on the 'Amazing Spider-Man' films.

Whether 'Spider-Man: Homecoming' is the best 'Spider-Man' film ever is debatable, some may prefer the first two films, others may prefer this. To me, it is the best 'Spider-Man' film since the second and on par with the first two. It may not have taken as many risks or had sequences/action as memorable as the first two films, and for more of an origin story it's best to stick with the first two films. For a fresh twist on 'Spider-Man' and the superhero genre, 'Spider-Man: Homecoming' (one of Marvel's best to date) more than fits the bill.

'Spider-Man: Homecoming' is not quite the masterpiece as proclaimed to me and maybe not quite as good as the acclaim, but personally can totally see why it is loved so much and that it deserves all the positivity it's received. It has a couple of faults, Liz is a bland and underwritten character and Laura Harrier does nothing with the character. Flash also could have been much more intimidating in demeanour and physicality, for a bully one is not intimidated, pretty anaemic actually and even annoying at times.

Much more could have been done with Spider-Man's powers and how he got around, they could have been better used, being not used enough, and of better quality.

However, 'Spider-Man: Homecoming' looks great. Slick, stylish with bold, atmospheric use of colour and mostly top-notch special effects. Michael Giacchino pens yet another winner of a music score, both rousing and hypnotic with also an intensity and emotional undercurrent.

It's a remarkably well scripted film too. It has some hilarious and rarely forced humour (namely from Ned and Michelle, both of whom should have been annoying but were refreshing scene-stealing comic relief), poignancy and tension. The story works well as a superhero story, with great chemistry between Peter and Tony Stark and a terrific scene in a car with our hero and Vulture, and even more so as an affectionate and easy to relate to coming of age and trying-to-fit-in story. The action is kept at minimum but what there is is fun and suspenseful, even if there were sequences and climaxes more memorable in the first two films.

A risk was taken having Jon Watts in the director's chair, but luckily inexperience doesn't show, there is a great sense of visual style and momentum is kept taut. A great cast also helps, with Tom Holland doing a wonderful job in the complex dual role, both roles are easy to relate to and he differentiates the two personalities of nerdy, awkward high school deadline and charismatic head-line-making superhero with remarkable ease.

Michael Keaton, fresh from giving two of his best performances in years in 'Birdman' and 'Spotlight', is also superb as Vulture, a refreshingly different and more complex villain than most Marvel villains, a menacing villain but with a humane side with a far less generic motivation than one would find in other Marvel films and doesn't feel underused. A villain that one is intimidated by but also feel sorry for. Marissa Tomei seemed bizarre casting on paper but she is very charming actually and fits well.

Robert Downey Jnr brings charismatic intensity and authority to Tony Stark, Jon Favreau is fun while Jacob Batalon and Zendaya are refreshing comic relief.

Overall, very good, often great and very nearly outstanding (which it would have been if more care was given to a few of the supporting characters). 8/10 Bethany Cox",spider_man_homecoming,Marvel Cinematic Universe,DC Extended Universe,1,0,DC Extended Universe,0,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1,DC Extended Universe,0,DC Extended Universe,0
"Godzilla vs Kong is ultimately probably the best of the Trilogy.  While King of the Monsters gave me what I wanted, it was a bit unwieldly in its execution, perfectly executing the ""Too much of a good thing.."" idiom, and featuring some wildly inconsistent CGI and semi-inconsistent tones.  Godzilla vs Kong, however, is better in these regards by simply being a more refined movie, with most of its overenthusiasm for its own existent well-contained this time, making this feel more like an actual Movie rather than just cinematic Wish-Fulfillment on the part of the Filmmakers.  Additionally, the CGI is notably sharper (likely because there don't appear to be as many full-CG sequences) and the cinematography is notably better as well.  One thing I also found legitimately interesting is that the movie doesn't show Godzilla much, but instead, he's treated like the Jason Vorhees of the Monsterverse - he is seen only from time to time, but he just causes massive destruction and is not willing to compromise.  This does culminate in 2 great battle sequences between Godzilla and Kong (the first of these two showcasing a great, if somewhat short, Godzilla vs Military sequence as well), and the climax, no spoilers, is pretty awesome.  If you like Kaiju movies, this is a great one, and honestly I liked it more than the original King Kong vs Godzilla.  The only real problem is that Godzilla, despite top billing, is not given nearly as much screentime as Kong, but his presence is well used, so this mostly makes up for it.",godzilla_vs_kong,MonsterVerse,MonsterVerse,2,2,MonsterVerse,2,MonsterVerse,2,Marvel Cinematic Universe,1,MonsterVerse,2,MonsterVerse,2
"This film is ok. Jake Gylenhall does a pretty good job as Quentin Beck (even though some of the writing on his character is hilariously bad). Holland steps up as Spider-Man, which is very much appreciated. And we get more Zendaya, which is always a good thing. But the script is so cheesy at time, making the story often feel like it's targeted exclusively at ten year olds, but Mysterio's plan makes no sense and the character's potential isn't really realised to the best extent. Weakest MCU Spider-Man film to date.",spider_man_far_from_home,Marvel Cinematic Universe,Marvel Cinematic Universe,1,1,Star Wars,3,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1,MonsterVerse,2
"Marvel Studios' Thor follows the titular character as he evolves from an
arrogant, brash and impetuous boy to a compassionate man who uses his
powers to help others rather than to seek out violence, which is a rich
character arc throughout the movie and was very refreshing to witness.
The first act of the movie was actually quite decent for me as it explored
Asgard and had rich world-building and I was very impressed with the CGI.
However, after Thor gets banished to Earth, the film starts to decrease in
quality as the tone becomes more comedic and the storyline started to
slow down for me. I was very bored with Jane Foster and I didn't feel like
she had any chemistry with Thor at all, and Kat Dennings' character was
especially annoying and made bad jokes which were silly and I did not
laugh, or even smile at any one of them.
The final third act was bland and boring, and Loki was a very bland villain in
this movie, even though he received a lot of character development, which
is a sign of bad execution of a character. Other than Loki, the Frost Giants
had no personality whatsoever and were only a plot device for this movie.
There were some emotional character moments in this film, like when Thor
fails to wield his hammer.

The score for this movie is rich and memorable, and I wish Marvel had more
of these types of scores rather than the generic modern Hans Zimmer-like
music that is throwaway and forgettable.
Overall, this film has a rich character arc but was not well executed and is
only average for me.",thor,Marvel Cinematic Universe,Marvel Cinematic Universe,1,1,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1
"I don't know how, but somehow I hate the acting of Daniel Radcliffe in this movie. In every other HP movie his acting is great, but somehow it was very bad in this movie. Apart from that, it's a great, entertaining movie, and I still enjoy watching it, even though I've watched it 10 times now.",harry_potter_and_the_prisoner_of_azkaban,Wizarding World,Wizarding World,4,4,DC Extended Universe,0,MonsterVerse,2,MonsterVerse,2,DC Extended Universe,0,Marvel Cinematic Universe,1
"Like the very much anti-imperialist slant Iron Man is somewhat going for, but I do find it a bit confused. Tony Stark realizing his weapons are just propagating the terrorism from home and how the US generates the war effort from weapon manufacturers, but it still has a messy lens from Bush-era politics of intervening still because ""it's personal"", where it seeps in somewhat as a creator mad at its misuse because it's on his conscience (Gulmira is a personal attachment from Yinsen and his weapons are still being misused), rather than a climb to sanity towards the tools of destruction, although it does go a few steps forwards on this, and it's one person rather than the military. Still an imperialist justification innit?

I like how Stark is confronted character wise on his arrogance, but it doesn't get rid of his smarminess and it makes him mostly unlikable for me even with scenes with Pepper that are heartfelt. At least he's called out for it, dumbly trying to right himself and the film exposits it as a messy road with consequences despite his well-intentions (he almost gives Obadiah tools of even bigger destruction if he wasn't there to intervene in the end).

Pepper really showcasing the weird, awkward, and slightly yikes power gap in the relationship of an employer and their employee. I get that the movie lampshades this by having Pepper literally point it out, even trying to close the power gap a bit with how he ""wouldn't even be able to tie his shoes"" without her, giving her quitting more possible weight to the other firing her, but it's still weird!

The few soundtrack choices are excellent (Suicidal Tendencies... perfection), but the score itself is weak as hell. I don't know a single musical score for a film from Ramin Djawadi that was ever any good, the closest being Pacific Rim and that wasn't even all him (Tom Morello helped out on a few notable songs)! Only good stuff is for TV a la Prison Break, Game of Thrones, or Westworld, and the last one is mostly orchestral covers even if they're used well. Maybe it's because he doesn't put up much of a fight with directors like Favreau when it comes to temp tracks in film? Not sure. Still very weak, impossible to note. Even for the scenes' use it's very disappointing, barely adding anything save for the strings coming through in the mix at very predictable times for something ""epic"".

It's so nice to see a film that isn't grey as fuck color grading, but also the nighttime itself isn't that pretty. I don't need CG lens flares but it's too muted for the most part. There are pretty shots like the ""Jericho"" presentation and Iron Man falling down from a tank shot, and the IMAX Enhanced version does add a bit more depth to some shots like the mountains. Not that huge of an improvement, but noticeable! CG is also great for the most part save for some spotty parts in the end (bobbing head with Obadiah), but the Iron Man suit... master class.

I think the film is mostly well shot for action pieces, but other than the last fight and the mass explosions of the weapons at the end of the first act, I wasn't super impressed. Felt like the action was just underbaked in terms of how it's showcased and written, or maybe my bar is too high. It's neat though to see gadget-y things like the targeting in the hostage situation. At least it's not CUT CUT CUT.

For a film that's clearly trying to stay away from an R rating, laughing really hard at the... ""interesting"" POV from the bus in the last fight to look visually stimulating. Iron Man gets hit into the bus, and the cut into the view from the bus gives visual information that somebody is looking outside AT him, implying there are people in there... and then the bus is blown up with no bodies. The explanation comes earlier, there's a scene with people mass evacuating from the bus, but I think it's interesting visual confusion.

Top tier performance from Jeff Bridges. The meme of a box of scraps is probably because it's such a killer performance of the line. I also like RDJ, Paltrow, and Howard, really funny in particular to hear Howard say ""humanitarian"" so loudly, a parallel to Bridges calling the peaceful people ""hippies"", performances really hammering in that point. Bridges is so good in a villainous role.

Breath of fresh air to have a MCU film that isn't wall to wall in quips. My sister pointed out that the quips are mostly from RDJ, while the rest are mostly visual gags like harsh cuts, which is my fav humor in the film tbh. I love the setup-punchline of it (""No I won't be drinking...."" 1 harsh cut later and he's completely drunk), wonder if that's what Favreau is known for. The quips are also characterized, where RDJ is more of reactionary quipping as he's clearly not in full control ever (constantly missing timelines, emotionally wrecked internally, etc.). I don't think quips on their own are bad. Think facing adversity with humor is just a very human thing in general (a la Rhodes with ""how was the Fun-vee?""), but I also think it's better that it's rare instead of all the time.

Frankly would've edited that entire scene of Iron Man saving the military guy with his parachute out of the film. It's tonally confused in the concept of him trying to run away from the military/going rogue by himself, and it barely gets any weight so the payoff is worthless. I'm totally up for superheroes saving the common guy, there's a funny moment after saving the people in Gulmira with leaving the person responsible for gunning them up without his gun, in the middle of a crowd that's absolutely going to do some avenging (hehe), but you can't make the military trying to shoot him and then ""help save me"" the next second.

To sum it up, messy anti-imperialism theming but mostly decent film with a good character direction for Tony Stark. 

Rewatched on Disney+, IMAX Enhanced Edition",iron_man,Marvel Cinematic Universe,Marvel Cinematic Universe,1,1,Marvel Cinematic Universe,1,Wizarding World,4,Marvel Cinematic Universe,1,DC Extended Universe,0,Marvel Cinematic Universe,1
"Guardians of the Galaxy Vol 2 follows up the story from the first film exactly how it is expected. The film has a better story and a better villain than the first, but character development ends up taking a step back. With the sudden flanderization of the team, the only character to really survive this sudden change is Yondu who gets a lot of good development as a result. The sudden change in Rocket can also be excused as he gets some development to explain it, but no one else really has an explanation to his or her drastically changed personalities in this film. This does not ruin the film, but it does leave a slight scar on it when watching it again, especially nearly back to back with the original. Like the first film I suggest watching this film again, but it doesn't have any real bearing on the Marvel Cinematic Universe as a whole so for those doing a necessities only marathon, this movie can be left alone.",guardians_of_the_galaxy_vol_2,Marvel Cinematic Universe,Marvel Cinematic Universe,1,1,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1
"A weak film with a forgettable and underused villain, as well as a twist that ruins the whole movie. The ending of ""Iron Man 3"" is also very confusing and doesn't make sense, especially when compared to other installments later on. The action is done well, however, and the humor is still done well. The stakes are higher, and the film feels more intense than the previous two, however, the ruined potential for the villain brings this movie down significantly.",iron_man_3,Marvel Cinematic Universe,Marvel Cinematic Universe,1,1,Star Wars,3,Marvel Cinematic Universe,1,MonsterVerse,2,Marvel Cinematic Universe,1,MonsterVerse,2
"It was pretty much non-stop action, and that's not really a good thing.  It didn't give one a lot of time to settle down and savor the moments, and there *were* some clever moments in the movie, like when Obi-Wan pretends to surrender, or when Padme discovers the co-conspirator of the plot to kidnap Jabba's son.  It's fun seeing reckless Anakin have to rein in the even more reckless impulses of his new Padawan Ahsoka, who's a good character.",clone_wars,Star Wars,Marvel Cinematic Universe,3,1,Marvel Cinematic Universe,1,DC Extended Universe,0,MonsterVerse,2,MonsterVerse,2,DC Extended Universe,0
"Pretty silly but I do have to give them credit for creating something more original than anything else Disney has produced in theaters for the Star Wars Universe. It's got all sorts of weird sci-fi stuff happening in it. I also enjoyed seeing two good actors in it (let you decide who those are). It's just not got the midas touch that I expect from a Star Wars film, and for that I'd say it's tied for worst Star Wars film (despite enjoying watching it).",solo_a_star_wars_story,Star Wars,Star Wars,3,3,Star Wars,3,DC Extended Universe,0,MonsterVerse,2,MonsterVerse,2,Star Wars,3
"Guardians of the Galaxy Vol. 2 leans into goofiness way more than the first movie did, which is not particularly a bad thing but I personally don't enjoy that much. The plot felt rushed by introding Peter's father too early and in a kind of unrealistic way, the writing was definitively one of the weakest points of this movie. The visuals were astonishing and Yondu and Rocket arc was great. Overall it was a good movie, but taking into account that the first one was remarkable, good isn't good enough.",guardians_of_the_galaxy_vol_2,Marvel Cinematic Universe,Marvel Cinematic Universe,1,1,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1,DC Extended Universe,0,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1
"I thoroughly enjoyed the film. Even though it wasn't as good as the first Ironman, this film is still very entertaining. I liked Rourke's performance as the vengeful Whiplash and found Downey Jr.'s humour well-timed. Overall though, it was Rockwell's outing as Justin Hammer that stole the show for me….Absolutely hilarious.",iron_man_2,Marvel Cinematic Universe,DC Extended Universe,1,0,Marvel Cinematic Universe,1,DC Extended Universe,0,MonsterVerse,2,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1
"Many People have the opinion that Marvel's The Incredible Hulk is
underrated. However, I disagree. This movie has no character development
or personality traits for any of its characters. Edward Norton as Bruce
Banner was just a normal guy in this movie; he has no personality or any
character growth throughout this movie. Liv Tyler as Betty Ross was
absolute garbage; her acting was bland and emotionless to the point that it
was jarring when she started shouting in one scene, albeit without reason.
Emil Blonsky/The Abomination is a bland villain with almost no motivations
and the generic trope of the villain having similar powers to the protagonist.
However, I will say that Thunderbolt Ross had some character and was very
well acted by William Hurt; I feel that he would have made a better main
antagonist than Abomination.

The story for this movie is boring and uninteresting, however it is still
serviceable for a mediocre film. The CGI used in this movie is bafflingly
bad, especially because Iron Man, a movie which was released before The
Incredible Hulk, has much better CGI; that said, I understand that the Hulk
is harder to animate than a metal suit. 

The score for the movie, composed by Craig Armstrong, is surprisingly
good and much better than the generic modern Hans Zimmer style of
movie soundtracks and I thoroughly enjoyed the music throughout the film.

Overall, The Incredible Hulk is just boring and does little to service the
overall story of the MCU.",the_incredible_hulk,Marvel Cinematic Universe,Marvel Cinematic Universe,1,1,Marvel Cinematic Universe,1,DC Extended Universe,0,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1,DC Extended Universe,0
"Guardians of the Galaxy is a comedy that tells the story of our favorite misfits in the whole universe, Chris Pratt makes an amazing job as the main chaacter and the same is true for Zoe Saldaña. The sound and visual effects are amazing, while the writing and soundtrack is astonishing, James Gunn wasn't messing around while making this movie.

Some could say the final battle was poorly executed, specially because of the goofiness of Peter Quill dancing to distract Ronan The Acusser, but it aligns with the goofiness thorough the movie, so I think it was perfect.


If I have to describe this movie with a single word it would precisely that: perfect.",guardians_of_the_galaxy,Marvel Cinematic Universe,Marvel Cinematic Universe,1,1,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1,MonsterVerse,2,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1
"EXPECTO PATRONUM!!

And the looming danger continued to haunt Harry Potter. This time, the school got ransacked by the Ministry of Magic, and the students weren't allowed to practice magic. 

I knew that after the fourth one, this movie series would get more interesting and investing. And I was right. Now, Harry Potter got into deeper danger as his mentality started to decay as the movie went on. 

The school ransacking plot was pretty alright. It did make me want to see Harry Potter and his squad succeed and bring down the faculties. Most importantly, I appreciated that Harry was able to bond more with the other students, not just with the trio. They used a lot more magic, which was always fun to see.

The best part of the movie was near the end, it was the first time that we saw a full-out battle between the wizards. The atmosphere was intense, and I enjoyed the lot of it. 

Overall, another thoroughly fun display of wizardry. Hope that it would continue to get better. 9/10",harry_potter_and_the_order_of_the_phoenix,Wizarding World,Marvel Cinematic Universe,4,1,MonsterVerse,2,Wizarding World,4,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1
"Just the right level of humour/sarcasm. Benedict did a great job bringing Stephen to life. Wong was great, and Cape was so perfectly animated that you did not question his sentience/life. As a fan of the comics, I had my fingers crossed for this to be good, and was not disappointed (even after numerous rewatches)",doctor_strange_2016,Marvel Cinematic Universe,Marvel Cinematic Universe,1,1,Star Wars,3,DC Extended Universe,0,MonsterVerse,2,DC Extended Universe,0,Star Wars,3
"Tom Holland was a spectacular choice for the MCU Spider-Man, and I loved it. He really brought out a good Peter Parker, and Zendaya is an amazing MJ. Michael Keaton was also Vulture in this film. Geez, how many bird-related films with Michael Keaton?! But this movie is really good, and I recommend it for any Spider-Man or Marvel fan.",spider_man_homecoming,Marvel Cinematic Universe,Marvel Cinematic Universe,1,1,MonsterVerse,2,MonsterVerse,2,Star Wars,3,Marvel Cinematic Universe,1,DC Extended Universe,0
